timestamp,robot_id,sigma_x,sigma_y,sigma_theta
1763489146.506345,2,0.206001,0.240166,0.169572
1763489146.506345,3,0.414458,0.233193,0.192688
1763489146.506345,4,0.969387,0.903324,0.702712
1763489146.506345,5,0.288089,0.242968,0.188333
1763489149.506860,1,0.776849,0.392201,0.295093
1763489149.506860,2,0.198864,0.310791,0.153790
1763489149.506860,3,0.286113,0.196762,0.171336
1763489149.506860,4,0.348659,0.238003,0.191150
1763489149.506860,5,0.248476,0.238937,0.191441
1763489152.507725,1,0.575740,0.310165,0.224146
1763489152.507725,2,0.232512,0.381287,0.195509
1763489152.507725,3,0.310849,0.226726,0.245423
1763489152.507725,4,0.326505,0.197376,0.180815
1763489152.507725,5,0.277740,0.267443,0.204806
1763489155.511343,1,0.424631,0.464499,0.221148
1763489155.511343,2,0.420283,0.496351,0.381162
1763489155.511343,3,0.514952,0.446284,0.450965
1763489155.511343,4,0.318187,0.265736,0.180844
1763489155.511343,5,0.553124,0.538559,0.401484
1763489158.514751,1,0.415882,0.416691,0.298025
1763489158.514751,2,0.441464,0.269501,0.208269
1763489158.514751,3,0.487262,0.354031,0.572554
1763489158.514751,4,0.393797,0.290631,0.210992
1763489158.514751,5,0.749701,0.739234,0.538205
1763489161.506885,1,0.321636,0.400916,0.254853
1763489161.506885,2,0.308088,0.193290,0.164307
1763489161.506885,3,0.443776,0.355250,0.336763
1763489161.506885,4,0.439238,0.265103,0.177711
1763489161.506885,5,0.527235,0.657169,0.277289
1763489164.508485,1,0.610866,0.652971,0.447089
1763489164.508485,2,0.301382,0.204932,0.142652
1763489164.508485,3,0.385167,0.362402,0.463313
1763489164.508485,4,0.414999,0.255481,0.221698
1763489164.508485,5,0.374699,0.495099,0.245093
1763489167.507230,1,0.796269,0.827705,0.574790
1763489167.507230,2,0.413137,0.392392,0.224173
1763489167.507230,3,0.366763,0.443424,0.589309
1763489167.507230,4,0.453930,0.271263,0.232972
1763489167.507230,5,0.231436,0.320100,0.230003
1763489170.507388,1,0.497884,0.354240,0.232817
1763489170.507388,2,0.321691,0.232870,0.181188
1763489170.507388,3,0.328240,0.432513,0.363397
1763489170.507388,4,0.395816,0.214426,0.202093
1763489170.507388,5,0.458085,0.327925,0.233199
1763489173.506796,1,0.476467,0.394400,0.288742
1763489173.506796,2,0.369098,0.215375,0.215260
1763489173.506796,3,0.288971,0.489266,0.216160
1763489173.506796,4,0.301200,0.237910,0.190334
1763489173.506796,5,0.527032,0.341888,0.228455
1763489176.506401,1,0.312409,0.226654,0.213356
1763489176.506401,2,0.315858,0.283207,0.219778
1763489176.506401,3,0.297286,0.638423,0.243306
1763489176.506401,4,0.341771,0.272933,0.293620
1763489176.506401,5,0.321250,0.168000,0.139853
1763489179.509157,1,0.290875,0.222206,0.233544
1763489179.509157,2,0.227180,0.197509,0.161928
1763489179.509157,3,0.285647,0.369308,0.384027
1763489179.509157,4,0.240192,0.328330,0.248598
1763489179.509157,5,0.293797,0.220611,0.144881
1763489182.508928,1,0.312841,0.233340,0.191581
1763489182.508928,2,0.228331,0.188028,0.168773
1763489182.508928,3,0.207868,0.209391,0.134947
1763489182.508928,4,0.468963,0.539216,0.410362
1763489182.508928,5,0.333021,0.262292,0.190716
1763489185.511093,1,0.289530,0.221266,0.199528
1763489185.511093,2,0.219284,0.194193,0.179005
1763489185.511093,3,0.238129,0.282235,0.177658
1763489185.511093,4,0.448908,0.453763,0.528285
1763489185.511093,5,0.309483,0.228526,0.165105
1763489188.506229,1,0.377518,0.306885,0.243614
1763489188.506229,2,0.287895,0.169572,0.137282
1763489188.506229,3,0.221573,0.314157,0.182689
1763489188.506229,4,0.382297,0.265004,0.222755
1763489188.506229,5,0.349313,0.255329,0.231028
1763489191.509312,1,0.267639,0.254948,0.246143
1763489191.509312,2,0.246727,0.198669,0.179615
1763489191.509312,3,0.229370,0.308813,0.181467
1763489191.509312,4,0.271723,0.218990,0.192419
1763489191.509312,5,0.351078,0.277401,0.257009
1763489194.507215,1,0.461795,0.455641,0.443778
1763489194.507215,2,0.217375,0.275671,0.201577
1763489194.507215,3,0.247058,0.282362,0.176871
1763489194.507215,4,0.468388,0.273038,0.209176
1763489194.507215,5,0.544413,0.486292,0.410667
1763489197.511337,1,0.677828,0.676994,0.571330
1763489197.511337,2,0.275623,0.271947,0.173474
1763489197.511337,3,0.402725,0.245377,0.177641
1763489197.511337,4,0.585665,0.270156,0.214664
1763489197.511337,5,0.365097,0.316466,0.525082
1763489200.507129,1,0.513425,0.627833,0.313484
1763489200.507129,2,0.375386,0.264012,0.233127
1763489200.507129,3,0.367657,0.223123,0.168501
1763489200.507129,4,0.579816,0.254850,0.206669
1763489200.507129,5,0.474273,0.479044,0.643760
1763489203.508858,1,0.651044,0.707505,0.348378
1763489203.508858,2,0.439529,0.321329,0.238365
1763489203.508858,3,0.450506,0.342556,0.190059
1763489203.508858,4,0.603185,0.371136,0.282485
1763489203.508858,5,0.695940,0.698030,0.739201
1763489206.507290,1,0.667320,0.774403,0.370015
1763489206.507290,2,0.418336,0.341328,0.224840
1763489206.507290,3,0.526757,0.493459,0.240277
1763489206.507290,4,0.714154,0.368085,0.294765
1763489206.507290,5,0.864930,0.866864,0.823660
1763489209.507977,1,0.729900,0.862624,0.452238
1763489209.507977,2,0.438763,0.382601,0.255334
1763489209.507977,3,0.647095,0.519077,0.237548
1763489209.507977,4,0.786380,0.296206,0.267889
1763489209.507977,5,1.011268,1.013123,0.903004
1763489212.507805,1,0.445594,0.444434,0.516001
1763489212.507805,2,0.390005,0.267895,0.190920
1763489212.507805,3,0.369270,0.413146,0.298925
1763489212.507805,4,0.481432,0.243388,0.273962
1763489212.507805,5,0.681632,0.611288,0.969201
1763489215.507173,1,0.508269,0.436167,0.312021
1763489215.507173,2,0.344542,0.207189,0.187254
1763489215.507173,3,0.633656,0.658551,0.471016
1763489215.507173,4,0.401437,0.228471,0.277063
1763489215.507173,5,0.270310,0.784698,0.279084
1763489218.506765,1,0.276140,0.377883,0.274307
1763489218.506765,2,0.292075,0.210651,0.179191
1763489218.506765,3,0.654105,0.459692,0.261571
1763489218.506765,4,0.489561,0.331888,0.301465
1763489218.506765,5,0.300066,0.738366,0.285367
1763489221.506109,1,0.308694,0.279797,0.325008
1763489221.506109,2,0.463418,0.221658,0.204268
1763489221.506109,3,0.416407,0.229110,0.203899
1763489221.506109,4,0.453051,0.298619,0.471844
1763489221.506109,5,0.337080,0.201797,0.134372
1763489224.506988,1,0.268155,0.241345,0.485750
1763489224.506988,2,0.395634,0.173150,0.146121
1763489224.506988,3,0.411431,0.237023,0.223308
1763489224.506988,4,0.275367,0.191358,0.566195
1763489224.506988,5,0.281557,0.209051,0.142179
1763489227.507239,1,0.478174,0.379097,0.407359
1763489227.507239,2,0.322928,0.205710,0.163324
1763489227.507239,3,0.555471,0.259115,0.328632
1763489227.507239,4,0.278327,0.218284,0.616023
1763489227.507239,5,0.262093,0.234649,0.146709
1763489230.506929,1,0.428203,0.466208,0.386565
1763489230.506929,2,0.345900,0.284353,0.186114
1763489230.506929,3,0.271262,0.351975,0.262074
1763489230.506929,4,0.320059,0.293115,0.262347
1763489230.506929,5,0.231973,0.277335,0.162646
1763489233.506939,1,0.494599,0.614149,0.533648
1763489233.506939,2,0.386354,0.396573,0.238529
1763489233.506939,3,0.251704,0.327485,0.273458
1763489233.506939,4,0.437448,0.449858,0.308526
1763489233.506939,5,0.287318,0.438414,0.214954
1763489236.507569,1,0.466044,0.243021,0.176709
1763489236.507569,2,0.487003,0.461688,0.312068
1763489236.507569,3,0.308136,0.389156,0.233344
1763489236.507569,4,0.609577,0.430073,0.300410
1763489236.507569,5,0.222699,0.388114,0.193867
1763489239.506562,1,0.379201,0.245189,0.188196
1763489239.506562,2,0.553019,0.495816,0.411115
1763489239.506562,3,0.405396,0.365439,0.206322
1763489239.506562,4,0.513228,0.337411,0.273196
1763489239.506562,5,0.295639,0.588248,0.263230
1763489242.507365,1,0.415789,0.269059,0.223033
1763489242.507365,2,0.532371,0.468385,0.508597
1763489242.507365,3,0.491607,0.448782,0.228549
1763489242.507365,4,0.451674,0.313850,0.240207
1763489242.507365,5,0.334900,0.698178,0.341928
